CELEBRITY,20190829,6.8,7.35,6.65,7.15,58812
CELESTIAL,20190829,3.1,3.25,3.05,3.1,29353
CENTENKA,20190829,181.85,185.65,180,182.05,10453
CENTEXT,20190829,2.65,2.7,2.55,2.65,10665
CENTRALBK,20190829,19.5,19.5,18.8,18.95,482023
CENTRUM,20190829,27.5,27.5,26.05,26.45,81509
CENTUM,20190829,395,398,371.85,381.35,2240
CENTURYPLY,20190829,133.6,135.65,131.4,132.85,74691
CENTURYTEX,20190829,841,855.75,837.2,840.15,291229
CERA,20190829,2525,2600,2470.75,2512.9,1494
CEREBRAINT,20190829,25.2,25.45,24.3,25.05,79350
CESC,20190829,765.6,766,748.1,756.7,223527
CESCVENT,20190829,362.15,364.9,343,348.85,9038
CGCL,20190829,155,155.5,150.2,151.9,346377
CGPOWER,20190829,10,10,10,10,420677
CHALET,20190829,290.1,299.8,288,294.95,15240
CHAMBLFERT,20190829,154.45,157.5,153,154.1,214698
CHEMFAB,20190829,160,160.05,159.5,160.05,800
CHENNPETRO,20190829,187,188.7,185.25,187.6,377399
CHOLAFIN,20190829,267.6,273,261.6,267.45,775504
CHOLAHLDNG,20190829,435.65,447.6,429.95,442.45,68282
CIGNITITEC,20190829,279,283.05,275,281.75,68136
CIMMCO,20190829,17.9,19,16.55,17.45,18376
CINELINE,20190829,39.8,39.8,37.15,37.85,5930
CINEVISTA,20190829,6.45,6.45,6.4,6.4,9229
CIPLA,20190829,465.5,468,456.55,465.2,1410078
CKFSL,20190829,1,1,1,1,5717
CLEDUCATE,20190829,84.75,91.1,84.05,85.3,1669
CLNINDIA,20190829,303.45,307.7,300.2,305.35,6805
CMICABLES,20190829,57.55,59.5,55.2,56,12857
CNOVAPETRO,20190829,7.5,9.6,7.5,8.15,13867
COALINDIA,20190829,183.3,190.3,182.1,189,31069292
COCHINSHIP,20190829,346,346,341,345.05,15895
COFFEEDAY,20190829,78.75,78.75,78.75,78.75,233563
COLPAL,20190829,1218,1259,1213,1252.4,839098
COMPINFO,20190829,9.45,9.55,8.8,8.95,117529
COMPUSOFT,20190829,8.7,8.7,8.15,8.55,20173
CONCOR,20190829,485,499.85,482.15,496.75,638774
CONFIPET,20190829,23.9,24.9,23.5,23.8,101412
CONSOFINVT,20190829,32.5,35,27.8,33.9,14180
CONTROLPR,20190829,242.05,250,242.05,245.3,3917
CORALFINAC,20190829,10.95,11.35,9,10.9,111463
CORDSCABLE,20190829,39.5,39.5,36.65,37.3,4006
COROMANDEL,20190829,386,387.5,373.4,386.4,81756
CORPBANK,20190829,17.6,17.8,17,17.2,212918
COSMOFILMS,20190829,215.9,219.1,213.35,215,25478
COUNCODOS,20190829,1.45,1.55,1.45,1.55,1668
COX&KINGS,20190829,4.65,4.65,4.65,4.65,131287
CPSEETF,20190829,22.4,22.79,22.14,22.63,9715072
CREATIVE,20190829,75.65,75.65,72.2,72.3,5006
CREDITACC,20190829,520,526.5,520,525.05,43110
CREST,20190829,77,79.8,77,79.8,550
CRISIL,20190829,1295,1296,1260.25,1279.65,3816
CROMPTON,20190829,225.75,227.95,225.1,225.95,687367
CTE,20190829,29,29.95,28.5,28.55,2578
CUB,20190829,193.2,194.8,190.1,192.8,224834
CUBEXTUB,20190829,9.55,10.7,9.5,10.35,1327
CUMMINSIND,20190829,571.05,577.75,562.55,569.6,739941
CUPID,20190829,131.1,132.8,129,129.6,16014
CURATECH,20190829,1.15,1.15,1.15,1.15,100
CYBERTECH,20190829,46,47.4,45.8,46.6,2410
CYIENT,20190829,434,435.9,427.1,429.8,71407
DAAWAT,20190829,22.6,23.5,22.2,22.95,639122
DABUR,20190829,434.75,445,432,442.85,1652654
DALBHARAT,20190829,924.2,938.45,908,912.8,26909
DALMIASUG,20190829,76.9,78.8,73.5,75.1,189205
DAMODARIND,20190829,30,30,28.6,29,54
DATAMATICS,20190829,72.2,74,71.3,72.5,33082
DBCORP,20190829,137.05,138.9,135,135.85,38109
DBL,20190829,376,376.7,350.5,364,230240
DBREALTY,20190829,6.2,6.35,6.05,6.15,88889
DBSTOCKBRO,20190829,8.55,8.55,8.55,8.55,10
DCAL,20190829,169,170,166,167.6,103555
DCBBANK,20190829,199,202,198.5,200.05,292491
DCM,20190829,19.9,22,19.3,21.5,28363
DCMNVL,20190829,26.05,30.5,26.05,28.95,2172
DCMSHRIRAM,20190829,389.9,397.9,384.6,388,88030
DCW,20190829,15.7,16.35,15.5,16.2,241633
DECCANCE,20190829,357.95,367.85,356.95,358.05,8110
DEEPAKFERT,20190829,81.9,83.4,79.15,80,111289
DEEPAKNTR,20190829,284.6,287.25,278.2,280.4,103699
DEEPIND,20190829,102.55,102.55,98.1,101.05,10308
DELTACORP,20190829,169.5,169.85,162.5,163.85,475330
DELTAMAGNT,20190829,40.95,41.75,38.95,41.75,153
DEN,20190829,89.85,91,86.2,88.7,150308
DENORA,20190829,205.05,217.8,198.2,199.75,6391
DFMFOODS,20190829,268.85,270.9,263.95,269.35,12330
DGCONTENT,20190829,6.05,6.35,6,6.25,43252
DHAMPURSUG,20190829,150,153.5,145.6,147.5,598481
DHANBANK,20190829,13.5,13.65,12.8,13.55,1042736
DHANUKA,20190829,318.95,319.45,312.25,313,6098
DHARSUGAR,20190829,6.9,8,6.8,8,95594
DHFL,20190829,48.1,49.2,46.5,47.25,15285533
DHUNINV,20190829,207.85,207.85,192,194.85,288
DIAMONDYD,20190829,730.3,750,730.3,737.75,390
DICIND,20190829,306.75,306.8,302,304.3,140
DIGISPICE,20190829,7,7,6.8,7,2066
DIGJAMLTD,20190829,1.4,1.4,1.3,1.3,16081
DISHTV,20190829,23,23.35,21.4,22.35,27042747
DIVISLAB,20190829,1581.1,1634,1572,1615,479265
DIXON,20190829,2724,2800,2603,2640.95,32485
DLF,20190829,163,166.9,161,165.1,11577203
DLINKINDIA,20190829,86.5,88,85.3,85.95,6690
DMART,20190829,1546.1,1574.2,1533.2,1547.05,324452
DNAMEDIA,20190829,0.35,0.45,0.35,0.4,25460
DOLAT,20190829,38.05,39.5,38,38.55,214271
DOLLAR,20190829,197.05,199.7,193.15,195.15,2525
DOLPHINOFF,20190829,13.5,14.45,13.5,14.15,5157
DONEAR,20190829,28,28.8,27.15,28.35,11821
DPSCLTD,20190829,13.15,13.85,13.15,13.55,5462
DQE,20190829,2.95,3,2.85,3,7803
DREDGECORP,20190829,311.9,346,310.25,333.45,1266806
DRREDDY,20190829,2515,2535,2493.95,2527.8,504970
DSSL,20190829,25,26.35,23.8,24.8,4018
DTIL,20190829,161.2,163.95,161,161.05,392
DUCON,20190829,5,5,4.7,4.75,37780
DVL,20190829,71,71,65.65,68.2,4125
DWARKESH,20190829,23.8,24,22,22.85,603519
